,0,1,2
132,-33.230972200000004,151.53791669999998,1.236467
133,-33.23125,151.53847219999997,1.236467
134,-33.233194399999995,151.53652780000002,1.236467
135,-33.232916700000004,151.53680559999998,1.236467
136,-33.2348611,151.5351389,1.236467
137,-33.23125,151.5376389,1.236467
138,-33.2318056,151.5370833,1.236467
139,-33.23125,151.5373611,1.236467
140,-33.2318056,151.5381944,1.236467
141,-33.233194399999995,151.5370833,1.236467
142,-33.2315278,151.5376389,1.236467
143,-33.2348611,151.5348611,1.236467
144,-33.2320833,151.5370833,1.236467
145,-33.23125,151.5348611,1.236467
146,-33.232361100000006,151.5376389,1.236467
147,-33.2315278,151.53625,1.236467
148,-33.23125,151.53680559999998,1.236467
149,-33.232916700000004,151.5370833,1.236467
150,-33.2318056,151.53680559999998,1.236467
